19C01101,56.7
20602801,56.7
20A01101,56.7
21202801,56.7
21601101,56.7
21A02801,56.7
22301101,56.7
0028,56.7
07401401,66.7
07A01401,66.7
08401401,66.7
08703001,66.7
08B01401,66.7
09301401,66.7
09701101,66.7
09B01401,66.7
10301401,66.7
10704101,66.7
10A01401,66.7
11104101,66.7
11501401,66.7
11904101,66.7
12101401,66.7
12404101,66.7
12801401,66.7
12B04101,66.7
13301401,66.7
13704101,66.7
13A06001,66.7
13B04101,66.7
14305701,66.7
14602801,66.7
14901101,66.7
15103001,66.7
15401101,66.7
15802501,66.7
15B02801,66.7
16302501,66.7
16602801,66.7
16802801,66.7
16902501,66.7
16C02801,66.7
17302501,66.7
17702801,66.7
17A02501,66.7
18104001,66.7
18402501,66.7
18804001,66.7
18C02501,66.7
19304001,66.7
19702501,66.7
19A04001,66.7
20203501,66.7
20604001,66.7
20A03501,66.7
21204001,66.7
21502501,66.7
21803501,66.7
21C02501,66.7
22403501,66.7
0025,66.7
05A00501,80.0
06200501,80.0
06500901,80.0
06A00501,80.0
07101101,80.0
07301101,80.0
07501201,80.0
07801301,80.0
07B01201,80.0
08101101,80.0
08402801,80.0
08701301,80.0
08B01101,80.0
09201301,80.0
09502801,80.0
09801301,80.0
09C02801,80.0
10202501,80.0
10403001,80.0
10402501,80.0
10603001,80.0
10B01301,80.0
11202801,80.0
11501301,80.0
11602501,80.0
11802801,80.0
11901101,80.0
11C02501,80.0
12301101,80.0
12602501,80.0
12801101,80.0
12C02801,80.0
13301301,80.0
13605701,80.0
13A01101,80.0
14103001,80.0
14501101,80.0
14803001,80.0
14C02801,80.0
15303501,80.0
15702801,80.0
15B01101,80.0
16203001,80.0
16404901,80.0
16601101,80.0
16903001,80.0
16B01101,80.0
17305501,80.0
17605801,80.0
17A03001,80.0
18105801,80.0
18503001,80.0
18805801,80.0
18C05701,80.0
19105701,80.0
19205501,80.0
19606401,80.0
19A05501,80.0
20106401,80.0
20505501,80.0 
20806401,80.0
20C05501,80.0
21306401,80.0
21705501,80.0
21A06401,80.0
22204001,80.0
22305801,80.0
06A01301,90.0
07101201,90.0
07401301,90.0
07701101,90.0
07A02801,90.0
08301301,90.0
08601101,90.0
08902501,90.0
09102801,90.0
09403001,90.0
09702501,90.0
09B03001,90.0
10204101,90.0
10602801,90.0
10902501,90.0
11101101,90.0
11402501,90.0
11603001,90.0
11A02801,90.0
11A01301,90.0
12103001,90.0
12501301,90.0
12803001,90.0
12B02501,90.0
13301101,90.0
13705801,90.0
13903001,90.0
13B05801,90.0
14105901,90.0
14205801,90.0
14602501,90.0
14906301,90.0
14B02501,90.0
14B05101,90.0
15102501,90.0
15404001,90.0
15703001,90.0
15A06401,90.0
16206301,90.0
16506401,90.0
16806301,90.0
16904101,90.0
16C06401,90.0
17403001,90.0
17705701,90.0
17805501,90.0
17B06401,90.0
18301401,90.0
18606401,90.0
18605501,90.0
18904101,90.0
19103001,90.0
19405801,90.0
19803501,90.0
19901301,90.0
19B05801,90.0
20201301,90.0
20503001,90.0
20904101,90.0
20C05801,90.0
21404101,90.0
21805801,90.0
21B04101,90.0
21B01301,90.0
22303001,90.0
22105501,90.0
0064,90.0
17305601,along
17B01101,along
18304101,along
18806401,along
18901301,along
19106401,along
19404101,along
19803001,along
19C04101,along
20505801,along
20901301,along
20C03001,along
21401301,along
21803001,along
0013,along
05400601,93.3
05C00601,93.3
06300601,93.3
